檔名,主要分類,分類理由,文字可擷取,重複來源
000327-implicit-sequence-learning-in-children.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 8,是,
01_Gapin_jsep_10_0018.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
01_memisevic.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 20,是,
10.26650-SP2022-1138580-2517928.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 17,是,
1471-2202-9-82.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
1752763468410.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 13,是,
1806-9282-ramb-65-05-0618.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
1977bWAW.pdf,99_待人工確認,PDF文字擷取不足或可能為掃描檔,否,
2008-ardila-evolutionary-origen-executive-functions.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 2,是,
2010_IJP.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 7,是,
2014__Injoque-Ricle__Barreyro__Calero___Burin_-_Tower_of_London.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
2015-28407-001.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
2016-18387-001.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 4,是,
2016-31176-001.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
2019-18463-001.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 9,是,
2020-55829-001.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
2022-44608-001.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
2023inpact091.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 10,是,
21097.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 6,是,
2442.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
2835883_Passolunghi_Costa_2016-PostPrint.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
313-1158-1-PB.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 6,是,
797d2497-6dd6-499f-838b-b49229479401.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
8647.full.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
A_Reevaluation_of_Working_Memory_Capacit.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 14,是,
Alloway_CD06.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 10,是,
Alloway_JECP04.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 3,是,
Allowayetal08_LEAID3.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
An-envisioned-bridge--Schooling-as-a-neurocognit_2012_Developmental-Cognitiv.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 1,是,
AssessingaRemedialInterventionProgrammeinDevelopingthePlanningSkillsofGrade4and5Learners_FINAL.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 5,是,
